*PCF-ID,Description of LCA stage,Scope-characterization of LCA stage,*Assigned value chain portion,Emissions at stage (kg CO2e),*Emissions at this stage are exclusively transport,*Emissions at this stage are exclusively EndOfLife
23195-6-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,17.5,Yes,No
23195-6-2013,End-of-life,N/a (field not yet included in 2013 reporting),Downstream,6,No,Yes
23195-7-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,1.1,No,No
23195-7-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,179,No,No
23195-7-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,34.1,No,No
23195-7-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,18.3,Yes,No
23195-7-2013,End-of-life,N/a (field not yet included in 2013 reporting),Downstream,1,No,Yes
23195-8-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,1.7,No,No
23195-8-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,180,No,No
23195-8-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,76.1,No,No
23195-8-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,28.4,Yes,No
23195-8-2013,End-of-life,N/a (field not yet included in 2013 reporting),Downstream,1.7,No,Yes
23195-9-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.9,No,No
23195-9-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,254,No,No
23195-9-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,83.5,No,No
23195-9-2013,Transportation,N/a (field not yet included in 2013 reporting),Downstream,27.5,Yes,No
23195-9-2013,End-of-life,N/a (field not yet included in 2013 reporting),Downstream,1.8,No,Yes
2377-1-2014,Material acquisition,"Scope 1, 2, & 3",Upstream,0.9,No,No
2377-1-2014,Production,"Scope 1, 2, & 3",Operations,0.14,No,No
2377-1-2014,Consumer use,"Scope 1, 2, & 3",Downstream,3.51,No,No
2377-1-2014,Distribution,"Scope 1, 2, & 3",Downstream,0.08,Yes,No
2377-1-2014,End of life/Final disposal,"Scope 1, 2, & 3",Downstream,0.05,No,Yes
2377-1-2015,Material acquisition,"Scope 1, 2, & 3",Upstream,0.9,No,No
2377-1-2015,Production,"Scope 1, 2, & 3",Operations,0.14,No,No
2377-1-2015,Consumer use,"Scope 1, 2, & 3",Downstream,3.51,No,No
2377-1-2015,Distribution,"Scope 1, 2, & 3",Downstream,0.08,Yes,No
2377-1-2015,End of life/Final disposal,"Scope 1, 2, & 3",Downstream,0.05,No,Yes
2377-2-2014,Material acquisition,"Scope 1, 2, & 3",Upstream,6.81,No,No
2377-2-2014,Production,"Scope 1, 2, & 3",Operations,0.21,No,No
2377-2-2014,Consumer use,"Scope 1, 2, & 3",Downstream,49.51,No,No
2377-2-2014,End of life/Final disposal,"Scope 1, 2, & 3",Downstream,0.1,No,Yes
2377-2-2014,Distribution,"Scope 1, 2, & 3",Downstream,0.08,Yes,No
2377-2-2015,Material acquisition,"Scope 1, 2, & 3",Upstream,6.81,No,No
2377-2-2015,Production,"Scope 1, 2, & 3",Operations,0.21,No,No
2377-2-2015,Consumer use,"Scope 1, 2, & 3",Downstream,49.51,No,No
2377-2-2015,Distribution,"Scope 1, 2, & 3",Downstream,0.81,Yes,No
2377-2-2015,End of life/Final disposal,"Scope 1, 2, & 3",Downstream,0.1,No,Yes
2377-3-2014,Material acquisition,"Scope 1, 2, & 3",Upstream,2.25,No,No
2377-3-2014,Production,"Scope 1, 2, & 3",Operations,0.35,No,No
2377-3-2014,Consumer use,"Scope 1, 2, & 3",Downstream,29.91,No,No
2377-3-2014,Distribution,"Scope 1, 2, & 3",Downstream,0.1,Yes,No
2377-3-2014,End of life/Final disposal,"Scope 1, 2, & 3",Downstream,0.1,No,Yes
2377-3-2015,Material acquisition,"Scope 1, 2, & 3",Upstream,2.25,No,No
2377-3-2015,Production,"Scope 1, 2, & 3",Operations,0.35,No,No
2377-3-2015,Consumer use,"Scope 1, 2, & 3",Downstream,29.91,No,No
2377-3-2015,End of life/Final disposal,"Scope 1, 2, & 3",Downstream,0.1,No,Yes
2377-3-2015,Distribution,"Scope 1, 2, & 3",Downstream,0.1,Yes,No
2377-4-2014,Material acquisition,"Scope 1, 2, & 3",Upstream,9.93,No,No
2377-4-2014,Production,"Scope 1, 2, & 3",Operations,0.04,No,No
2377-4-2014,Consumer use,"Scope 1, 2, & 3",Downstream,77.08,No,No
2377-4-2014,Distribution,"Scope 1, 2, & 3",Downstream,1.13,Yes,No
2377-4-2014,End of life/Final disposal,BLANK,Downstream,0.24,No,Yes
2377-4-2015,Material acquisition,"Scope 1, 2, & 3",Upstream,9.93,No,No
2377-4-2015,Production,"Scope 1, 2, & 3",Operations,0.04,No,No
2377-4-2015,Consumer use,"Scope 1, 2, & 3",Downstream,77.08,No,No
2377-4-2015,Distribution,"Scope 1, 2, & 3",Downstream,1.13,Yes,No
2377-4-2015,End of life/Final disposal,"Scope 1, 2, & 3",Downstream,0.24,No,Yes
2688-1-2014,Manufacturing,Scope 3,Operations,23.3,No,No
2688-1-2014,Assembly,Scope 2,Operations,5.3,No,No
2688-1-2014,Assembly,Scope 1,Operations,0.6,No,No
2688-1-2014,Energy/Fuel,Scope 3,Operations,0.5,No,No
2688-1-2014,Consumer use,Scope 3,Downstream,3.9,No,No
2688-1-2014,End of life/Final disposal,Scope 3,Downstream,3.6,No,Yes
2688-1-2014,Transportation,Scope 3,Downstream,1.3,Yes,No
2688-2-2014,Manufacturing,Scope 3,Operations,38.1,No,No
2688-2-2014,Assembly,Scope 2,Operations,5.3,No,No
2688-2-2014,Assembly,Scope 1,Operations,0.6,No,No
2688-2-2014,Energy/Fuel,BLANK,Operations,0.5,No,No
2688-2-2014,End of life/Final disposal,BLANK,Downstream,6.5,No,Yes
2688-2-2014,Consumer use,Scope 3,Downstream,4.7,No,No
2688-2-2014,Transportation,Scope 3,Downstream,1.3,Yes,No
2688-3-2014,Manufacturing,Scope 3,Operations,5.7,No,No
2688-3-2014,Assembly,Scope 2,Operations,5.4,No,No
2688-3-2014,Assembly,Scope 1,Operations,0.4,No,No
2688-3-2014,Energy/Fuel,Scope 3,Operations,0.4,No,No
2688-3-2014,Transportation,Scope 3,Downstream,1.2,Yes,No
2688-3-2014,End of life/Final disposal,Scope 3,Downstream,0.3,No,Yes
2688-3-2014,Consumer use,Scope 3,Downstream,0.1,No,No
2688-4-2014,Manufacturing,Scope 3,Operations,9.1,No,No
2688-4-2014,Assembly,Scope 2,Operations,5.4,No,No
2688-4-2014,Assembly,Scope 1,Operations,0.4,No,No
2688-4-2014,Energy/Fuel,Scope 3,Operations,0.4,No,No
2688-4-2014,Transportation,Scope 3,Downstream,3.5,Yes,No
2688-4-2014,End of life/Final disposal,Scope 3,Downstream,0.4,No,Yes
2688-4-2014,Consumer use,Scope 3,Downstream,0.1,No,No
28843-1-2013,Manufacture of supplier components,N/a (field not yet included in 2013 reporting),Upstream,12.31,No,No
28843-1-2013,Manufacture of AVK finished components,N/a (field not yet included in 2013 reporting),Operations,14.01,No,No
28843-1-2013,Assembly and finishing of product,N/a (field not yet included in 2013 reporting),Operations,3.76,No,No
28843-1-2013,Delivery of components,N/a (field not yet included in 2013 reporting),Downstream,1.18,Yes,No
28843-1-2014,Material acquisition,Scope 3,Upstream,29.42,No,No
28843-1-2014,Assembly,Scope 2,Operations,0.04,No,No
28843-1-2014,Transportation,Scope 3,Downstream,0.6,Yes,No
28843-1-2014,Waste,Scope 3,Downstream,0.07,No,Yes
28843-2-2013,Manufacture of supplier components,N/a (field not yet included in 2013 reporting),Upstream,42.22,No,No
28843-2-2013,Manufacture of AVK finished components,N/a (field not yet included in 2013 reporting),Operations,31.55,No,No
28843-2-2013,Assembly and finishing of product,N/a (field not yet included in 2013 reporting),Operations,12.26,No,No
28843-2-2013,Delivery of components,N/a (field not yet included in 2013 reporting),Downstream,7.28,Yes,No
28843-3-2013,Manufacture of supplier components,N/a (field not yet included in 2013 reporting),Upstream,31.77,No,No
28843-3-2013,Assembly and finishing of product,N/a (field not yet included in 2013 reporting),Operations,6.46,No,No
28843-3-2013,Manufacture of AVK finished components,N/a (field not yet included in 2013 reporting),Operations,1.07,No,No
28843-3-2013,Delivery of components,N/a (field not yet included in 2013 reporting),Downstream,4.78,Yes,No
28843-3-2014,Material acquisition,Scope 3,Upstream,32.73,No,No
28843-3-2014,Assembly,Scope 2,Operations,0.03,No,No
28843-3-2014,Waste,Scope 3,Downstream,0.07,No,Yes
28843-3-2014,Transportation,Scope 3,Downstream,0.07,Yes,No
28843-4-2014,Material acquisition,Scope 3,Upstream,61.34,No,No
28843-4-2014,Assembly,Scope 2,Operations,0.03,No,No
28843-4-2014,Transportation,Scope 3,Downstream,1.25,Yes,No
28843-4-2014,Waste,Scope 3,Downstream,0.07,No,Yes
28843-5-2014,Material acquisition,Scope 3,Upstream,56.43,No,No
28843-5-2014,Assembly,Scope 2,Operations,0.01,No,No
28843-5-2014,Transportation,Scope 3,Downstream,0.63,Yes,No
28843-5-2014,Waste,Scope 3,Downstream,0.07,No,Yes
28933-1-2013,Sourcing & Extract,N/a (field not yet included in 2013 reporting),Upstream,12.1,No,No
28933-1-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,1.4,No,No
28933-1-2013,Product Use,N/a (field not yet included in 2013 reporting),Downstream,0.5,No,No
28933-1-2013,Delivery and Installation,N/a (field not yet included in 2013 reporting),Downstream,0.5,No,No
28933-1-2013,End of Life,N/a (field not yet included in 2013 reporting),Downstream,0.2,No,Yes
2908-1-2013,Raw material production stage,N/a (field not yet included in 2013 reporting),Upstream,270,No,No
2908-1-2013,Manufacturing stage,N/a (field not yet included in 2013 reporting),Operations,13,No,No
2908-1-2013,Usage stage,N/a (field not yet included in 2013 reporting),Downstream,1993,No,No
2908-1-2013,Waste/recycling stage,N/a (field not yet included in 2013 reporting),Downstream,56,No,Yes
2908-1-2013,Distribution stage,N/a (field not yet included in 2013 reporting),Downstream,11,Yes,No
2908-1-2014,Material acquisition,Scope 3,Upstream,270,No,No
2908-1-2014,Manufacturing,Scope 1 & 2,Operations,13,No,No
2908-1-2014,Consumer use,Scope 3,Downstream,1993,No,No
2908-1-2014,Waste,Scope 3,Downstream,56,No,Yes
2908-1-2014,Distribution,Scope 3,Downstream,11,Yes,No
31487-1-2013,Upstream Transport,N/a (field not yet included in 2013 reporting),Upstream,0.02,Yes,No
31487-1-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,27.63,No,No
31487-1-2013,Use Phase,N/a (field not yet included in 2013 reporting),Downstream,1.28,No,No
31487-1-2013,Downstream Transport,N/a (field not yet included in 2013 reporting),Downstream,0.99,Yes,No
3193-1-2013,Materials input in LCD and LCM process,N/a (field not yet included in 2013 reporting),Upstream,87,No,No
3193-1-2013,Manufacturing process,N/a (field not yet included in 2013 reporting),Operations,58,No,No
32738-1-2013,Manufacture of materials,N/a (field not yet included in 2013 reporting),Upstream,892.4,No,No
32738-1-2013,Manufacture of product,N/a (field not yet included in 2013 reporting),Operations,133.3,No,No
32738-1-2013,Usage (5 years),N/a (field not yet included in 2013 reporting),Downstream,1810.2,No,No
32738-1-2013,Disposal,N/a (field not yet included in 2013 reporting),Downstream,286.5,No,Yes
32738-1-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,17.5,Yes,No
32738-1-2014,Material acquisition,Scope 3,Upstream,864.7,No,No
32738-1-2014,Manufacturing,Scope 1 & 2,Operations,138.7,No,No
32738-1-2014,Operation of premises,Scope 3,Downstream,1170.5,No,No
32738-1-2014,End of life/Final disposal,Scope 3,Downstream,211.6,No,Yes
32738-1-2014,Distribution,Scope 3,Downstream,17.8,Yes,No
32738-1-2014,Recycling,Scope 3,Downstream,-469.6,No,Yes
32738-1-2015,Material acquisition,Scope 3,Upstream,966.9,No,No
32738-1-2015,Manufacturing,Scope 1 & 2,Operations,151.4,No,No
32738-1-2015,Operation of premises,Scope 3,Downstream,898.8,No,No
32738-1-2015,End of life/Final disposal,Scope 3,Downstream,232.9,No,Yes
32738-1-2015,Distribution,Scope 3,Downstream,18.2,Yes,No
32738-1-2015,Recycling,Scope 3,Downstream,-502.8,No,Yes
3329-2-2013,Materials and Manufacturing,N/a (field not yet included in 2013 reporting),Operations,75,No,No
3329-2-2013,Use at Customer Site,N/a (field not yet included in 2013 reporting),Downstream,204.6,No,No
3329-2-2013,Transport,N/a (field not yet included in 2013 reporting),Downstream,0.4,Yes,No
3329-2-2013,End of Life,N/a (field not yet included in 2013 reporting),Downstream,-2.5,No,Yes
3329-3-2013,Materials and Manufacturing,N/a (field not yet included in 2013 reporting),Operations,112,No,No
3329-3-2013,Use at Customer Site,N/a (field not yet included in 2013 reporting),Downstream,1315,No,No
3329-3-2013,Transport,N/a (field not yet included in 2013 reporting),Downstream,47,Yes,No
3329-3-2013,End of Life,N/a (field not yet included in 2013 reporting),Downstream,-1.1,No,Yes
33496-2-2014,Manufacturing,Scope 1 & 2,Operations,132,No,No
33496-2-2014,Transportation,Scope 1,Downstream,32,Yes,No
33496-2-2015,Manufacturing,Scope 1 & 2,Operations,131,No,No
33496-2-2015,Transportation,Scope 1,Downstream,47,Yes,No
3435-1-2016,Material acquisition,Scope 3,Upstream,8478,No,No
3435-1-2016,Energy/Fuel,Scope 1,Operations,9093,No,No
3435-1-2016,Production,Scope 2,Operations,6474,No,No
3435-1-2016,Processing,Scope 1,Operations,686,No,No
3435-1-2016,Transportation,Scope 3,Downstream,102,Yes,No
3435-1-2016,Other:,Scope 3,Downstream,6,No,No
3435-2-2016,Material acquisition,Scope 3,Upstream,4983,No,No
3435-2-2016,Production,Scope 2,Operations,9028,No,No
3435-2-2016,Energy/Fuel,Scope 1,Operations,6219,No,No
3435-2-2016,Processing,Scope 1,Operations,793,No,No
3435-2-2016,Transportation,Scope 3,Downstream,96,Yes,No
3435-2-2016,Other:,Scope 3,Downstream,7,No,No
3435-3-2016,Material acquisition,Scope 3,Upstream,3017,No,No
3435-3-2016,Production,Scope 2,Operations,12694,No,No
3435-3-2016,Energy/Fuel,Scope 1,Operations,1412,No,No
3435-3-2016,Processing,Scope 1,Operations,883,No,No
3435-3-2016,Transportation,Scope 3,Downstream,34,Yes,No
3435-3-2016,Other:,Scope 3,Downstream,3,No,No
3435-4-2016,Material acquisition,Scope 3,Upstream,8022,No,No
3435-4-2016,Energy/Fuel,Scope 1,Operations,9943,No,No
3435-4-2016,Production,Scope 2,Operations,8033,No,No
3435-4-2016,Processing,Scope 1,Operations,767,No,No
3435-4-2016,Transportation,Scope 3,Downstream,68,Yes,No
3435-4-2016,Other:,Scope 3,Downstream,3,No,No
3435-5-2016,Material acquisition,Scope 3,Upstream,877,No,No
3435-5-2016,Energy/Fuel,Scope 1,Operations,1678,No,No
3435-5-2016,Production,Scope 2,Operations,966,No,No
3435-5-2016,Processing,Scope 1,Operations,292,No,No
3435-5-2016,Transportation,Scope 3,Downstream,43,Yes,No
3435-5-2016,Other:,Scope 3,Downstream,3,No,No
34386-1-2016,Energy/Fuel,Scope 1,Operations,6.073,No,No
34386-1-2016,Transportation,Scope 3,Downstream,10.811,Yes,No
34386-1-2016,Other: Handling,Scope 3,Downstream,0.0000632,No,No
3448-7-2016,Production,"Scope 1, 2, & 3",Operations,0.0013,No,No
3448-7-2016,Transportation,"Scope 1, 2, & 3",Downstream,0.0025,Yes,No
35311-10-2016,Cradle to gate,"Scope 1, 2, & 3",Operations,7.28,No,No
35311-10-2016,Consumer use,Scope 3,Downstream,2.11,No,No
35311-10-2016,End of life/Final disposal,Scope 3,Downstream,0.27,No,Yes
35311-10-2016,Other: Delivery & Installation,Scope 3,Downstream,0.12,No,No
35311-11-2016,Cradle to gate,"Scope 1, 2, & 3",Operations,7.27,No,No
35311-11-2016,Consumer use,Scope 3,Downstream,3.15,No,No
35311-11-2016,Other: Delivery & Installation,Scope 3,Downstream,0.37,No,No
35311-11-2016,End of life/Final disposal,Scope 3,Downstream,0.27,No,Yes
35311-1-2013,Manufacturing (including raw material extraction and Interface manufacturing process),N/a (field not yet included in 2013 reporting),Operations,9.2,No,No
35311-1-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,3.57,No,No
35311-1-2013,Installation,N/a (field not yet included in 2013 reporting),Downstream,0.36,No,No
35311-1-2013,End of Life,N/a (field not yet included in 2013 reporting),Downstream,0.26,No,Yes
35311-1-2014,Manufacturing,"Scope 1, 2, & 3",Operations,8.61,No,No
35311-1-2014,Consumer use,"Scope 1, 2, & 3",Downstream,3.35,No,No
35311-1-2014,Other: Installation,"Scope 1, 2, & 3",Downstream,0.36,No,No
35311-1-2014,End of life/Final disposal,"Scope 1, 2, & 3",Downstream,0.27,No,Yes
35311-12-2016,Cradle to gate,"Scope 1, 2, & 3",Operations,12.19,No,No
35311-12-2016,Consumer use,Scope 3,Downstream,3.38,No,No
35311-12-2016,Other: Delivery & Installation,Scope 3,Downstream,1.05,No,No
35311-12-2016,End of life/Final disposal,Scope 3,Downstream,0.48,No,Yes
35311-2-2013,Manufacturing (including raw material extraction and Interface manufacturing process),N/a (field not yet included in 2013 reporting),Operations,6.65,No,No
35311-2-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,1.9,No,No
35311-2-2013,End of Life,N/a (field not yet included in 2013 reporting),Downstream,1.34,No,Yes
35311-2-2013,Installation,N/a (field not yet included in 2013 reporting),Downstream,0.21,No,No
35311-2-2015,Production,Scope 3,Upstream,7.3,No,No
35311-2-2015,Energy/Fuel,Scope 1 & 2,Operations,0.22,No,No
35311-2-2015,Consumer use,Scope 3,Downstream,1.84,No,No
35311-2-2015,End of life/Final disposal,Scope 3,Downstream,1.4,No,Yes
35311-2-2015,Other: Installation,Scope 3,Downstream,0.22,No,No
35311-3-2013,Manufacturing (including raw material extraction and Interface manufacturing process),N/a (field not yet included in 2013 reporting),Operations,11.27,No,No
35311-3-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,3.17,No,No
35311-3-2013,End of Life,N/a (field not yet included in 2013 reporting),Downstream,0.32,No,Yes
35311-3-2013,Installation,N/a (field not yet included in 2013 reporting),Downstream,0.23,No,No
35311-3-2014,Manufacturing,"Scope 1, 2, & 3",Operations,10.22,No,No
35311-3-2014,Consumer use,"Scope 1, 2, & 3",Downstream,3.37,No,No
35311-3-2014,End of life/Final disposal,"Scope 1, 2, & 3",Downstream,0.29,No,Yes
35311-3-2014,Other: Installation,"Scope 1, 2, & 3",Downstream,0.21,No,No
35311-3-2016,Cradle to gate,"Scope 1, 2, & 3",Operations,8.11,No,No
35311-3-2016,Consumer use,Scope 3,Downstream,2.68,No,No
35311-3-2016,End of life/Final disposal,Scope 3,Downstream,0.3,No,Yes
35311-3-2016,Other: Delivery & Installation,Scope 3,Downstream,0.21,No,No
35311-4-2013,Manufacturing (including raw material extraction and Interface manufacturing process),N/a (field not yet included in 2013 reporting),Operations,12.05,No,No
35311-4-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,4.57,No,No
35311-4-2013,End of Life,N/a (field not yet included in 2013 reporting),Downstream,0.29,No,Yes
35311-4-2013,Installation,N/a (field not yet included in 2013 reporting),Downstream,0.24,No,No
35311-4-2015,Production,Scope 3,Upstream,8.55,No,No
35311-4-2015,Energy/Fuel,Scope 1 & 2,Operations,2.45,No,No
35311-4-2015,Consumer use,Scope 3,Downstream,4.39,No,No
35311-4-2015,End of life/Final disposal,Scope 3,Downstream,0.33,No,Yes
35311-4-2015,Other: Installation,Scope 3,Downstream,0.21,No,No
35311-4-2016,Cradle to gate,"Scope 1, 2, & 3",Operations,8.04,No,No
35311-4-2016,Consumer use,Scope 3,Downstream,4.27,No,No
35311-4-2016,Other: Delivery & Installation,Scope 3,Downstream,0.28,No,No
35311-4-2016,End of life/Final disposal,Scope 3,Downstream,0.25,No,Yes
35311-5-2014,Manufacturing,"Scope 1, 2, & 3",Operations,6.62,No,No
35311-5-2014,Consumer use,"Scope 1, 2, & 3",Downstream,1.88,No,No
35311-5-2014,End of life/Final disposal,"Scope 1, 2, & 3",Downstream,1.38,No,Yes
35311-5-2014,Other: Installation,"Scope 1, 2, & 3",Downstream,0.22,No,No
35311-5-2016,Cradle to gate,"Scope 1, 2, & 3",Operations,6.31,No,No
35311-5-2016,Consumer use,Scope 3,Downstream,2.68,No,No
35311-5-2016,End of life/Final disposal,Scope 3,Downstream,1.22,No,Yes
35311-5-2016,Other: Delivery & Installation,Scope 3,Downstream,0.2,No,No
35311-6-2015,Production,Scope 3,Upstream,8.87,No,No
35311-6-2015,Energy/Fuel,Scope 1 & 2,Operations,0.95,No,No
35311-6-2015,Consumer use,Scope 3,Downstream,3.3,No,No
35311-6-2015,End of life/Final disposal,Scope 3,Downstream,0.3,No,Yes
35311-6-2015,Other: Installation,Scope 3,Downstream,0.21,No,No
35311-7-2015,Production,Scope 3,Upstream,8.33,No,No
35311-7-2015,Energy/Fuel,Scope 1 & 2,Operations,0.6,No,No
35311-7-2015,Consumer use,Scope 3,Downstream,3.32,No,No
35311-7-2015,Other: Installation,Scope 3,Downstream,0.35,No,No
35311-7-2015,End of life/Final disposal,Scope 3,Downstream,0.3,No,Yes
35311-7-2016,Cradle to gate,"Scope 1, 2, & 3",Operations,7.49,No,No
35311-7-2016,Consumer use,Scope 3,Downstream,3.15,No,No
35311-7-2016,Other: Delivery & Installation,Scope 3,Downstream,0.35,No,No
35311-7-2016,End of life/Final disposal,Scope 3,Downstream,0.27,No,Yes
35311-8-2015,Production,Scope 3,Upstream,9.41,No,No
35311-8-2015,Energy/Fuel,Scope 1 & 2,Operations,1.2,No,No
35311-8-2015,Consumer use,Scope 3,Downstream,4.37,No,No
35311-8-2015,End of life/Final disposal,Scope 3,Downstream,0.28,No,Yes
35311-8-2015,Other: Installation,Scope 3,Downstream,0.19,No,No
35311-8-2016,Cradle to gate,"Scope 1, 2, & 3",Operations,8.39,No,No
35311-8-2016,Consumer use,Scope 3,Downstream,4.37,No,No
35311-8-2016,End of life/Final disposal,Scope 3,Downstream,2.29,No,Yes
35311-8-2016,Other: Delivery & Installation,Scope 3,Downstream,0.36,No,No
3565-10-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.2455,No,No
3565-10-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.0054,No,No
3565-10-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0116,No,No
3565-10-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0564,No,No
3565-10-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0146,Yes,No
3565-10-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0058,No,No
3565-11-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.1069,No,No
3565-11-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.0077,No,No
3565-11-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0271,No,No
3565-11-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0607,No,No
3565-11-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0158,Yes,No
3565-11-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0018,No,No
3565-1-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.096,No,No
3565-1-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.0226,No,No
3565-1-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0119,No,No
3565-1-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0289,No,No
3565-1-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0097,Yes,No
3565-1-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0009,No,No
3565-12-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.1688,No,No
3565-12-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.032,No,No
3565-12-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0864,No,No
3565-12-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0552,Yes,No
3565-12-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0368,No,No
3565-12-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0208,No,No
3565-13-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.2324,No,No
3565-13-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.0213,No,No
3565-13-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.015,No,No
3565-13-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0588,No,No
3565-13-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0168,Yes,No
3565-13-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0056,No,No
3565-14-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.1068,No,No
3565-14-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.0295,No,No
3565-14-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0274,No,No
3565-14-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0588,No,No
3565-14-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0156,Yes,No
3565-14-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0017,No,No
3565-3-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.1034,No,No
3565-3-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.0336,No,No
3565-3-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0264,No,No
3565-3-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0588,No,No
3565-3-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0158,Yes,No
3565-3-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0016,No,No
3565-4-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.1645,No,No
3565-4-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.14,No,No
3565-4-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0855,No,No
3565-4-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.055,Yes,No
3565-4-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.035,No,No
3565-4-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0195,No,No
3565-5-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.0947,No,No
3565-5-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.0051,No,No
3565-5-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0115,No,No
3565-5-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0288,No,No
3565-5-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0093,Yes,No
3565-5-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0008,No,No
3565-6-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.2434,No,No
3565-6-2013,Ingredients,N/a (field not yet included in 2013 reporting),Upstream,0.0058,No,No
3565-6-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.0119,No,No
3565-6-2013,Refrigeration,N/a (field not yet included in 2013 reporting),Downstream,0.0578,No,No
3565-6-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.0149,Yes,No
3565-6-2013,Consumer Use,N/a (field not yet included in 2013 reporting),Downstream,0.0058,No,No
3565-7-2013,Packaging,N/a (field not yet included in 2013 reporting),Upstream,0.1067,No,No
